egov-mdms-service,core-services,256M
egov-localization,core-services
egov-otp,core-services
egov-user,core-services
egov-workflow-v2,core-services
user-otp,core-services
egov-accesscontrol,core-services
egov-persister,core-services
zuul,core-services
egov-filestore,core-services
egov-idgen,core-services
egov-enc-service,core-services
egov-location,core-services
report,core-services


billing-service,business-services
collection-services,business-services
egov-apportion-service,business-services
egov-hrms,business-services

sw-services,municipal-services
sw-calculator,municipal-services
ws-services,municipal-services
ws-calculator,municipal-services

property-services,municipal-services
pt-calculator-v2,municipal-services

bpa-services,municipal-services
bpa-calculator,municipal-services
land-services,municipal-services
noc-services,municipal-services
egov-user-event,municipal-services
tl-services,municipal-services
tl-calculator,municipal-services
